标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
海豚湾,2009 / 美国 / 纪录片 / 路易·西霍尤斯 / 路易·西霍尤斯 瑞克·欧贝瑞,9.3,https://movie.douban.com/subject/3442220/,2021-05-04 18:01:21,5,,,public
拯救大兵瑞恩,1998 / 美国 / 剧情 战争 / 史蒂文·斯皮尔伯格 / 汤姆·汉克斯 汤姆·塞兹摩尔,9.1,https://movie.douban.com/subject/1292849/,2020-07-25 18:40:15,5,,,public
绿皮书,2018 / 美国 中国大陆 / 剧情 喜剧 音乐 传记 / 彼得·法雷里 / 维果·莫腾森 马赫沙拉·阿里,8.9,https://movie.douban.com/subject/27060077/,2020-07-25 18:39:14,5,,,public
西西里的美丽传说,2000 / 意大利 美国 / 剧情 情色 战争 / 朱塞佩·托纳多雷 / 莫妮卡·贝鲁奇 朱塞佩·苏尔法罗,8.9,https://movie.douban.com/subject/1292402/,2022-08-04 18:24:44,5,,,public
让子弹飞,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部 / 姜文 / 姜文 葛优,9.0,https://movie.douban.com/subject/3742360/,2020-07-25 18:33:17,5,,,public
饮食男女,1994 / 中国台湾 美国 / 剧情 家庭 / 李安 / 郎雄 杨贵媚,9.2,https://movie.douban.com/subject/1291818/,2020-07-25 18:31:14,5,,,public
黑客帝国,1999 / 美国 / 动作 科幻 / 莉莉·沃卓斯基 拉娜·沃卓斯基 / 基努·里维斯 劳伦斯·菲什伯恩,9.1,https://movie.douban.com/subject/1291843/,2020-07-25 18:28:29,5,,,public
指环王1：护戒使者,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险 / 彼得·杰克逊 / 伊利亚·伍德 西恩·奥斯汀,9.1,https://movie.douban.com/subject/1291571/,2023-04-16 21:10:42,5,,,public
猫鼠游戏,2002 / 美国 加拿大 / 剧情 传记 犯罪 / 史蒂文·斯皮尔伯格 / 莱昂纳多·迪卡普里奥 汤姆·汉克斯,9.1,https://movie.douban.com/subject/1305487/,2020-07-25 18:25:18,5,,,public
狮子王,1994 / 美国 / 动画 歌舞 冒险 / 罗杰·阿勒斯 罗伯·明可夫 / 乔纳森·泰勒·托马斯 马修·布罗德里克,9.1,https://movie.douban.com/subject/1301753/,2020-07-25 18:22:57,5,,,public
教父2,1974 / 美国 / 剧情 犯罪 / 弗朗西斯·福特·科波拉 / 阿尔·帕西诺 罗伯特·杜瓦尔,9.3,https://movie.douban.com/subject/1299131/,2023-03-27 13:04:54,5,,,public
死亡诗社,1989 / 美国 / 剧情 / 彼得·威尔 / 罗宾·威廉姆斯 罗伯特·肖恩·莱纳德,9.2,https://movie.douban.com/subject/1291548/,2020-07-25 18:20:03,5,,,public
搏击俱乐部,1999 / 美国 / 剧情 动作 悬疑 惊悚 / 大卫·芬奇 / 爱德华·诺顿 布拉德·皮特,9.0,https://movie.douban.com/subject/1292000/,2020-07-25 18:19:55,5,,,public
辩护人,2013 / 韩国 / 剧情 / 杨宇硕 / 宋康昊 金英爱,9.2,https://movie.douban.com/subject/21937445/,2020-07-25 18:19:35,5,,,public
鬼子来了,2000 / 中国大陆 / 剧情 喜剧 / 姜文 / 姜文 香川照之,9.3,https://movie.douban.com/subject/1291858/,2020-09-13 00:18:47,5,,,public
飞屋环游记,2009 / 美国 / 剧情 喜剧 动画 冒险 / 彼特·道格特 鲍勃·彼德森 / 爱德华·阿斯纳 克里斯托弗·普卢默,9.1,https://movie.douban.com/subject/2129039/,2020-07-25 18:10:45,5,,,public
寻梦环游记,2017 / 美国 / 喜剧 动画 音乐 奇幻 / 李·昂克里奇 阿德里安·莫利纳 / 安东尼·冈萨雷斯 盖尔·加西亚·贝纳尔,9.1,https://movie.douban.com/subject/20495023/,2021-03-06 16:54:38,5,,,public
蝙蝠侠：黑暗骑士,2008 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 希斯·莱杰,9.2,https://movie.douban.com/subject/1851857/,2020-07-25 17:58:03,5,,,public
当幸福来敲门,2006 / 美国 / 剧情 家庭 传记 / 加布里埃莱·穆奇诺 / 威尔·史密斯 贾登·史密斯,9.1,https://movie.douban.com/subject/1849031/,2022-05-30 15:08:27,5,,,public
教父,1972 / 美国 / 剧情 犯罪 / 弗朗西斯·福特·科波拉 / 马龙·白兰度 阿尔·帕西诺,9.3,https://movie.douban.com/subject/1291841/,2023-03-27 13:04:48,5,,,public
大话西游之大圣娶亲,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装 / 刘镇伟 / 周星驰 吴孟达,9.2,https://movie.douban.com/subject/1292213/,2020-07-25 17:50:07,5,,,public
星际穿越,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险 / 克里斯托弗·诺兰 / 马修·麦康纳 安妮·海瑟薇,9.4,https://movie.douban.com/subject/1889243/,2020-07-25 17:49:50,5,,,public
